train/ent_coef_loss,time/episodes,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef
-10.23719596862793,15,46,-41.71824645996094,0.0003,64,3000,0.03440248966217041,200.0,2899,0.0,0.41923409700393677
-10.905555725097656,16,50,-43.193206787109375,0.0003,63,3200,0.029199719429016113,200.0,3099,0.0,0.39485105872154236
-11.598299026489258,17,54,-44.329429626464844,0.0003,62,3400,0.03821974992752075,200.0,3299,0.0,0.3718964457511902
-12.283994674682617,18,57,-45.388755798339844,0.0003,62,3600,0.029493145644664764,200.0,3499,0.0,0.3502790331840515
-12.992046356201172,19,60,-46.475807189941406,0.0003,62,3800,0.03534998744726181,200.0,3699,0.0,0.32992541790008545
-13.728130340576172,20,63,-47.29359436035156,0.0003,62,4000,0.0334491953253746,200.0,3899,0.0,0.3107568621635437
-14.418146133422852,21,67,-48.17061233520508,0.0003,62,4200,0.03781738877296448,200.0,4099,0.0,0.29270610213279724
-15.062973022460938,22,70,-48.71266555786133,0.0003,62,4400,0.02914935164153576,200.0,4299,0.0,0.2757120728492737
-15.733713150024414,23,73,-49.62485885620117,0.0003,62,4600,0.027446717023849487,200.0,4499,0.0,0.259706050157547
-16.37080192565918,24,77,-49.95474624633789,0.0003,62,4800,0.03184724599123001,200.0,4699,0.0,0.2446354776620865
-17.073354721069336,25,80,-50.5546760559082,0.0003,62,5000,0.025625580921769142,200.0,4899,0.0,0.23044869303703308
-17.727252960205078,26,83,-50.990745544433594,0.0003,62,5200,0.02495505101978779,200.0,5099,0.0,0.21708743274211884
-18.45361328125,27,86,-51.51689147949219,0.0003,62,5400,0.020252620801329613,200.0,5299,0.0,0.20451022684574127
-19.133197784423828,28,89,-51.80387878417969,0.0003,62,5600,0.029466183856129646,200.0,5499,0.0,0.19266504049301147
-19.582738876342773,29,93,-52.198890686035156,0.0003,62,5800,0.021398304030299187,200.0,5699,0.0,0.18150989711284637
-20.232158660888672,30,95,-52.3382568359375,0.0003,62,6000,0.020022615790367126,200.0,5899,0.0,0.17100204527378082
-21.109846115112305,31,99,-52.51198959350586,0.0003,62,6200,0.022102423012256622,200.0,6099,0.0,0.16110853850841522
-21.653724670410156,32,103,-52.75772476196289,0.0003,62,6400,0.019613273441791534,200.0,6299,0.0,0.15179240703582764
-22.32693862915039,33,106,-52.93452072143555,0.0003,62,6600,0.020477093756198883,200.0,6499,0.0,0.1430167257785797
-23.123703002929688,34,109,-53.09500503540039,0.0003,62,6800,0.017833232879638672,200.0,6699,0.0,0.13475297391414642
-23.589149475097656,35,112,-53.09868621826172,0.0003,62,7000,0.019253870472311974,200.0,6899,0.0,0.12697353959083557
-24.299407958984375,36,116,-53.1495246887207,0.0003,62,7200,0.019441712647676468,200.0,7099,0.0,0.11964355409145355
-24.875259399414062,37,119,-53.00012969970703,0.0003,62,7400,0.07067396491765976,200.0,7299,0.0,0.112738698720932
-25.34686851501465,38,122,-53.021324157714844,0.0003,62,7600,0.026827408000826836,200.0,7499,0.0,0.10624940693378448
-25.945960998535156,39,125,-53.39948272705078,0.0003,61,7800,0.02359815314412117,200.0,7699,0.0,0.10013885796070099
-26.630615234375,40,129,-52.95319366455078,0.0003,62,8000,0.021793115884065628,200.0,7899,0.0,0.09438501298427582
-27.176830291748047,41,132,-52.892173767089844,0.0003,62,8200,0.019005123525857925,200.0,8099,0.0,0.0889672264456749
-27.70878028869629,42,135,-52.797401428222656,0.0003,62,8400,0.09022577106952667,200.0,8299,0.0,0.08388440310955048
-28.050392150878906,43,138,-52.81684875488281,0.0003,62,8600,0.06983842700719833,200.0,8499,0.0,0.07910379022359848
-28.311992645263672,44,141,-52.54514694213867,0.0003,62,8800,0.028634194284677505,200.0,8699,0.0,0.07460559159517288
-28.647830963134766,45,144,-52.46449661254883,0.0003,62,9000,0.08033669739961624,200.0,8899,0.0,0.07038425654172897
-28.418794631958008,46,147,-52.17035675048828,0.0003,62,9200,0.06254050880670547,200.0,9099,0.0,0.06641089171171188
-29.474132537841797,47,151,-51.914634704589844,0.0003,61,9400,0.04003113508224487,200.0,9299,0.0,0.06269259750843048
-29.980701446533203,48,154,-51.835044860839844,0.0003,61,9600,0.03891058638691902,200.0,9499,0.0,0.059172146022319794
-30.729026794433594,49,158,-51.63165283203125,0.0003,61,9800,0.0747818648815155,200.0,9699,0.0,0.055854327976703644
-30.51202392578125,50,161,-51.2142333984375,0.0003,62,10000,0.0407397523522377,200.0,9899,0.0,0.05269007757306099
